Second,Frames Per Second,Events Per Second
0,18,5
1,23,4
2,5,3
3,38,4
4,5,3
5,33,5
6,12,4
7,37,4
8,6,3
9,24,5
10,63,7
11,13,5
12,95,8
13,76,5
14,7,4
15,31,8
16,47,8
17,136,10
18,14,7
19,24,7
20,54,8
21,30,8
22,125,10
23,99,12
24,24,11
25,81,14
26,60,16
27,58,12
28,56,11
29,77,11
30,43,8
31,82,11
32,60,13
33,48,10
34,39,10
35,50,11
36,67,8
37,26,8
38,26,7
39,49,7
40,61,7
41,10,6
42,43,5
43,4,3
44,18,5
45,17,5
46,65,5
47,20,5
48,9,5
49,14,5
50,18,5
51,30,4
52,35,3
53,4,2
54,4,2
55,4,2
56,4,1
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
