Throughput,Energy,Latency,Batch Size,Frequency,Directory,GPU Max Frequency (MHz),GPU Min Frequency (MHz),GPU Architecture,GPU Number of Cores,Memory Speed (GB/s),DRAM,Shared Memory,Memory Size (GB),Tensor Cores
29.631,0.59740791174,0.027193,1,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
37.7878,1.2291397010999998,0.0458789999999999,2,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
45.6143,1.5367561559999998,0.0581179999999999,3,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
50.2283,1.8294162212,0.070253,4,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
53.1828,2.0813888862,0.078723,5,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
56.8208,2.4226974448000003,0.090491,6,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
59.7129,2.7075580485,0.1007069999999999,7,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
61.1652,3.14110475978,0.113983,8,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
65.1817,3.41908766067,0.1243769999999999,9,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
65.1861,3.648537403,0.132986,10,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
66.6151,3.986890716360001,0.144321,11,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
68.7998,4.27088258406,0.150561,12,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
72.4862,4.58051909933,0.159569,13,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
71.1657,4.89563993,0.1749379999999999,14,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
69.3405,5.101761812,0.181496,15,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
73.8177,5.515569470249999,0.1942289999999999,16,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
75.4826,5.63782012941,0.1957829999999999,17,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
77.1423,6.1548715815,0.2149309999999999,18,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
77.8045,6.41390148657,0.223911,19,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
79.4901,6.7130057575,0.2331349999999999,20,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
78.79,7.0523462448,0.243424,21,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
80.1259,7.31387134267,0.253291,22,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
86.1103,7.356927619879999,0.251918,23,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
79.799,7.937736550539999,0.271769,24,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
82.1151,8.05167866646,0.275117,25,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
83.4386,8.266575268799999,0.2859899999999999,26,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.109,8.764279399999998,0.2948949999999999,27,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.7619,8.880241279,0.301654,28,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
84.7666,9.5975111169,0.3215989999999999,29,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
85.0936,9.715953645,0.321534,30,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.0408,9.9861094153,0.33779,31,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
83.1247,10.18447946358,0.348609,32,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.1102,10.3857390463,0.3470229999999999,33,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.4092,10.82008414125,0.3642849999999999,34,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
85.1198,11.37452560152,0.374424,35,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
81.5723,10.87690180122,0.370734,36,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
79.1254,11.65700962392,0.383246,37,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
82.1294,11.899427432,0.392096,38,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
88.1037,11.42037568136,0.374996,39,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
82.78,12.915621132799998,0.4322959999999999,40,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.4606,13.3774215905,0.441146,41,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
88.0975,13.54979258592,0.445024,42,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
89.4341,13.45429175384,0.440104,43,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
95.7624,13.6043138445,0.454458,44,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
94.1031,14.142962201279998,0.4705439999999999,45,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
96.4129,14.5003485304,0.482021,46,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
96.7541,13.9260861269,0.4637449999999999,47,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
96.0978,14.60722580625,0.4831749999999999,48,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
90.4198,15.5812357974,0.508844,49,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
98.4253,15.251198051699998,0.4918019999999999,50,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
82.7845,16.33637758564,0.527701,51,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
89.1076,16.6859814645,0.541867,52,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
93.7727,16.224492555799998,0.5313129999999999,53,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
85.4482,17.2153666113,0.56199,54,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
95.4381,17.449365697999998,0.55673,55,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
96.109,18.4510477379,0.590858,56,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.1191,17.51669726352,0.562354,57,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
91.7543,17.839567032,0.576032,58,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
91.4395,18.55955663425,0.601621,59,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
95.0386,19.13277135666,0.619818,60,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
93.7401,19.187759643,0.625151,61,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
95.4036,19.69683745944,0.640851,62,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
95.7767,19.949071771750003,0.645293,63,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
87.7954,19.927846211,0.638447,64,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
90.0971,20.80659951306,0.661338,65,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
99.0773,21.14622924394,0.680473,66,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
89.1236,20.620258168,0.659168,67,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
94.1016,21.328016466060003,0.682326,68,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
91.7758,21.61884769202,0.6843739999999999,69,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
95.1191,21.06990795518,0.676283,70,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
76.1397,20.00538052676,0.659261,71,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
98.7598,22.31555319444,0.716507,72,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
74.8193,23.78039358462,0.764909,73,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
76.7747,21.939883668,0.7073999999999999,74,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
76.4664,23.89935087485,0.768311,75,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
77.802,23.1139662305,0.743695,76,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
80.7878,24.28139156186,0.781546,77,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
79.4484,22.299200715,0.72237,78,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
82.1144,23.56773196689,0.752497,79,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
97.0718,22.52431098008,0.723256,80,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
82.7988,23.0165528775,0.7361249999999999,81,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
83.7788,23.43941726239,0.758473,82,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
85.4398,24.046901042500004,0.777875,83,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
86.0876,25.17040534814,0.8080539999999999,84,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
86.1044,23.62336179723,0.753363,85,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
92.5369,25.923906459,0.828531,86,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
89.793,25.4140806082,0.808102,87,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
90.4016,27.111603672,0.86615,88,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
92.3597,25.8962513438,0.83443,89,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
91.3,25.571618609,0.8120809999999999,90,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
77.1373,26.94385548962,0.872474,91,1377000000,AGX,1370,76.8,Volta,512,137.0,Yes,Yes,32,64.0
