Second,Frames Per Second,Events Per Second
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,3,3
10,14,4
11,72,5
12,48,5
13,58,5
14,70,5
15,33,3
16,2,2
17,6,3
18,5,3
19,121,5
20,136,7
21,67,6
22,62,5
23,55,6
24,96,8
25,18,7
26,10,7
27,12,6
28,27,6
29,110,7
30,164,6
31,15,3
32,5,3
33,16,3
34,84,4
35,5,3
36,64,4
37,17,3
38,4,3
39,16,4
40,16,4
41,10,3
42,5,3
43,25,4
44,2,2
45,2,2
46,175,4
47,3,1
48,114,2
49,0,0
50,0,0
51,0,0
52,0,0
53,11,1
54,0,0
55,0,0
56,0,0
57,0,0
58,26,1
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
