Throughput (Inference/sec),Energy (J),Z,Label,Frequency
5.44384,1.0573568388699999,0.170129,1,921600000
5.66604,2.162646498,0.33612,2,921600000
6.49919,2.77834802308,0.430262,3,921600000
7.14184,3.3563827673999995,0.52182,4,921600000
7.28571,4.105562688879999,0.6335959999999999,5,921600000
7.66539,4.7489761163,0.726182,6,921600000
7.71318,5.3098035207,0.815206,7,921600000
8.33194,5.986985886,0.9013829999999999,8,921600000
8.5,6.53325210565,1.004737,9,921600000
5.19948,1.0369380499199998,0.17993399999999998,1,844800000
6.24922,2.68174866036,0.450758,3,844800000
6.999,3.2270147296200005,0.541134,4,844800000
4.90864,1.0090162736,0.191348,1,768000000
5.88823,2.5912471505599997,0.477977,3,768000000
4.49962,0.9875858372399999,0.208924,1,691200000
