Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,6.21503,0.170129,5.44384,1.0573568388699999
2,6.43415,0.33612,5.66604,2.162646498
3,6.45734,0.430262,6.49919,2.77834802308
4,6.4320699999999995,0.52182,7.14184,3.3563827673999995
5,6.47978,0.6335959999999999,7.28571,4.105562688879999
6,6.53965,0.726182,7.66539,4.7489761163
7,6.51345,0.815206,7.71318,5.3098035207
8,6.642,0.9013829999999999,8.33194,5.986985886
9,6.50245,1.004737,8.5,6.53325210565
10,6.6615,1.067809,8.33194,7.1132096535
11,6.63543,1.184402,7.49875,7.85901656286
12,6.58208,1.2926609999999998,7.49875,8.508398114879999
13,6.574350000000001,1.405932,7.49875,9.243089044200001
