Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,5.19948,1448,9947,248,443,179113,130,5,191448,193319,193734,194366
2,5.39946,1900,8875,173327,1432,181486,135,8,367182,369087,369494,370219
3,6.24922,2081,11142,210656,2413,237521,168,8,458513,460162,641725,643240
4,6.999,2482,12531,259931,3448,277543,212,9,551831,559970,564442,826587
5,6.71045,2398,21950,336330,3767,348460,201,8,681341,868970,929699,960472
6,7.28467,2549,21264,386318,5338,382447,239,8,774467,1049203,1052668,1054556
7,7.49875,2373,6863,421548,6249,447234,253,8,870203,1147073,1151353,1262896
8,7.42645,2664,10793,531033,6141,466677,245,8,1147404,1245386,1247312,1358393
9,6.85616,2985,20164,600484,6139,485165,324,8,1069227,1364495,1465063,1478705
10,7.49875,2073,19084,561888,8256,570049,278,6,1162137,1168511,1169164,1172902
11,7.4975,2372,21500,673146,7619,571399,254,7,1161994,1734298,1737363,1740317
12,7.4975,2027,19888,791233,9154,570347,293,6,1167801,1739889,1742109,1745133
13,7.49875,2019,20261,907626,7833,570649,325,6,1731714,1743671,1744086,1756133
