Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,4.16632,1139,7849,225,466,229639,95,5,239537,240780,241058,241481
2,4.16632,1310,9175,223675,1088,232119,104,3,467081,471083,472252,474307
3,4.72684,1569,13898,297573,1546,294606,114,4,588060,818012,819354,822345
4,4.9985,1733,8721,366511,2725,386154,156,3,726853,958792,959888,964118
5,5.10941,2304,19531,384484,3476,513952,165,3,872575,1108202,1109553,1113518
6,5.66604,2061,13709,566049,2609,440462,150,3,1187862,1200673,1211399,1476406
7,5.77714,2316,22645,623624,3874,516307,156,3,1332131,1464171,1467772,1469720
8,5.77714,1948,25829,607593,6909,623827,189,3,1267127,1272396,1273804,1275037
9,5.49931,1295,24156,771338,6777,625033,225,3,1275284,1903959,1904931,1914442
10,5.49931,1876,21740,931765,6293,624047,208,3,1892935,1905450,1908190,1918120
11,5.77714,1583,20621,1092144,8754,626280,175,3,1906897,1914127,1914872,1917154
12,5.77714,1477,22311,1247271,8483,622914,197,3,1902503,1908715,1911171,1912193
13,5.33274,1847,21481,1402941,7049,624950,189,3,1902780,2532319,2535772,2537532
