Throughput (Inference/sec),Latency (s),Z,Label,Frequency,Directory
29.631,0.027193,0.59740791174,1,1377000000,AGX
37.7878,0.045878999999999996,1.2291397010999998,2,1377000000,AGX
45.6143,0.058117999999999996,1.5367561559999998,3,1377000000,AGX
50.2283,0.070253,1.8294162212,4,1377000000,AGX
53.1828,0.078723,2.0813888862,5,1377000000,AGX
56.8208,0.090491,2.4226974448000003,6,1377000000,AGX
59.7129,0.10070699999999999,2.7075580484999997,7,1377000000,AGX
61.1652,0.113983,3.14110475978,8,1377000000,AGX
65.1817,0.12437699999999999,3.4190876606699994,9,1377000000,AGX
65.1861,0.132986,3.648537403,10,1377000000,AGX
66.6151,0.144321,3.9868907163600005,11,1377000000,AGX
68.7998,0.150561,4.27088258406,12,1377000000,AGX
72.4862,0.159569,4.58051909933,13,1377000000,AGX
73.8177,0.19422899999999998,5.515569470249999,16,1377000000,AGX
75.4826,0.19578299999999998,5.63782012941,17,1377000000,AGX
77.1423,0.21493099999999998,6.1548715815,18,1377000000,AGX
77.8045,0.223911,6.41390148657,19,1377000000,AGX
79.4901,0.23313499999999998,6.7130057574999995,20,1377000000,AGX
80.1259,0.253291,7.31387134267,22,1377000000,AGX
86.1103,0.251918,7.356927619879999,23,1377000000,AGX
87.109,0.29489499999999996,8.764279399999998,27,1377000000,AGX
87.7619,0.301654,8.880241279,28,1377000000,AGX
88.1037,0.374996,11.42037568136,39,1377000000,AGX
89.4341,0.440104,13.45429175384,43,1377000000,AGX
95.7624,0.454458,13.6043138445,44,1377000000,AGX
96.7541,0.46374499999999996,13.9260861269,47,1377000000,AGX
99.0773,0.680473,21.14622924394,66,1377000000,AGX
99.5663,0.8814909999999999,27.830195849429995,97,1377000000,AGX
100.4,0.93712,29.490135568,99,1377000000,AGX
104.071,0.9433889999999999,29.44728386604,102,1377000000,AGX
105.412,0.9712149999999999,30.357859696149998,103,1377000000,AGX
28.9636,0.027705,0.5778127095000001,1,1338750000,AGX
36.9543,0.047077,1.2056843393,2,1338750000,AGX
44.7792,0.059188,1.488696576,3,1338750000,AGX
50.0676,0.06887599999999999,1.72391255672,4,1338750000,AGX
60.493,0.104534,2.7561235825400003,7,1338750000,AGX
63.4946,0.123875,3.2661402775,9,1338750000,AGX
66.4894,0.147062,3.8995327575,11,1338750000,AGX
69.8328,0.153079,4.08830228406,12,1338750000,AGX
70.175,0.166394,4.4518298715,13,1338750000,AGX
87.7778,0.349385,10.0911192502,32,1338750000,AGX
91.1072,0.459983,13.303513330249999,44,1338750000,AGX
94.4349,0.460347,13.48087520352,45,1338750000,AGX
96.4178,0.47776599999999997,13.524361045,46,1338750000,AGX
97.0841,0.475431,13.826484342,47,1338750000,AGX
98.7164,0.490849,14.368701312839999,48,1338750000,AGX
103.571,0.968896,28.80835916928,101,1338750000,AGX
104.077,0.964236,29.135605677359997,102,1338750000,AGX
27.4658,0.029377,0.5577035437200001,1,1236750000,AGX
34.7926,0.050086,1.137002286,2,1236750000,AGX
42.4452,0.060673,1.36924581499,3,1236750000,AGX
90.7533,0.473776,12.43833033136,44,1236750000,AGX
99.4011,0.9753179999999999,26.0424048111,98,1236750000,AGX
100.42,1.0125899999999999,26.9825768631,100,1236750000,AGX
103.589,1.0216699999999999,27.130446849999995,101,1236750000,AGX
33.9571,0.051607,1.12764546241,2,1198500000,AGX
45.9339,0.078045,1.6997982474000002,4,1198500000,AGX
88.7127,0.479877,11.88763301325,43,1198500000,AGX
90.4198,0.484606,12.03456486826,44,1198500000,AGX
90.7734,0.495093,12.29526333525,46,1198500000,AGX
24.5339,0.033812,0.54187888876,1,1032750000,AGX
29.9633,0.059222,1.08354703192,2,1032750000,AGX
21.3092,0.03777,0.44587636080000004,1,1109250000,NX
30.9544,0.08201499999999999,1.12741181615,3,1109250000,NX
20.8644,0.038869999999999995,0.4285670155,1,1058250000,NX
19.7586,0.041628,0.41863822619999996,1,956250000,NX
18.8648,0.043607,0.40352958446000003,1,905250000,NX
