Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,18.984360000000002,0.029377,27.4658,0.5577035437200001
2,22.701,0.050086,34.7926,1.137002286
3,22.56763,0.060673,42.4452,1.36924581499
4,22.61645,0.076486,47.1009,1.7298417947
5,22.61485,0.087521,50.1539,1.9792742868500002
6,22.473599999999998,0.096005,51.4923,2.1575779679999996
7,23.278000000000002,0.113563,55.8531,2.6435195140000003
8,23.17116,0.123889,56.764,2.87065184124
9,23.46966,0.130648,58.3433,3.06626413968
10,23.493660000000002,0.143644,59.3466,3.37472329704
11,23.88125,0.151501,63.6459,3.61803325625
12,23.973419999999997,0.164192,64.5038,3.9362437766399996
13,24.46726,0.172537,64.5074,4.2215076386199994
14,23.578,0.185467,63.1911,4.372940926
15,23.8,0.19672199999999998,63.0137,4.6819836
16,24.46962,0.214221,69.1309,5.24190646602
17,24.68063,0.218464,67.46,5.39182915232
18,24.4933,0.23993899999999999,71.1426,5.8768979087
19,24.32525,0.248134,70.1454,6.0359215834999995
20,24.2925,0.24196499999999999,69.7422,5.8779347625
21,24.4443,0.254802,73.4837,6.228456528599999
22,24.7805,0.27402699999999997,73.482,6.790526073499999
23,24.782619999999998,0.286777,73.4934,7.107085415739999
24,25.1346,0.292147,77.4593,7.342997986199999
25,24.96683,0.31111099999999997,77.1328,7.76745544813
26,25.11546,0.326048,73.42,8.18884550208
27,25.2647,0.32409699999999997,75.4665,8.1882134759
28,24.558,0.31937499999999996,75.0384,7.843211249999999
29,25.204,0.358351,77.1357,9.031878604
30,25.27905,0.35669599999999996,76.7872,9.0169360188
31,25.20025,0.36572899999999997,79.1189,9.216462232249999
32,25.51733,0.358996,78.8087,9.16061940068
33,25.90494,0.391738,73.8236,10.147949385719999
34,25.965500000000002,0.390106,76.8093,10.129297343000001
35,25.6414,0.40079499999999996,75.839,10.276944913
36,25.90094,0.413576,76.1465,10.712007161439999
37,25.85416,0.414031,78.4545,10.70442371896
38,25.48075,0.44483599999999995,81.1068,11.334754906999999
39,25.62462,0.435592,82.1319,11.16187947504
40,25.923000000000002,0.44709899999999997,82.4376,11.590147377
41,25.785619999999998,0.466715,86.7798,12.0345356383
42,25.95262,0.477035,86.7793,12.380308081699999
43,26.10164,0.49118199999999995,87.4529,12.82065573848
44,26.253610000000002,0.473776,90.7533,12.43833033136
45,26.19671,0.50361,84.1264,13.1929251231
46,26.22014,0.49964,88.4547,13.1006307496
47,25.7365,0.542437,88.1121,13.960429850499999
48,25.71737,0.532353,82.7517,13.69071907161
49,26.3675,0.5469769999999999,83.4694,14.422416047499999
50,26.26637,0.554118,79.488,14.55466841166
51,26.47988,0.552263,80.1335,14.62385796844
52,25.94907,0.570205,80.463,14.796289459349998
53,25.641330000000004,0.5948749999999999,83.7571,15.25338618375
54,25.86,0.5871219999999999,83.1232,15.182974919999998
55,26.528810000000004,0.580572,84.11,15.40188427932
56,26.42314,0.594121,86.4442,15.698542359940001
57,26.41957,0.625934,77.7999,16.53690712838
58,26.21122,0.639608,90.1099,16.76490600176
59,26.427560000000003,0.6558069999999999,80.0848,17.33137884092
60,26.25821,0.657277,87.4371,17.25891749417
61,26.31892,0.66514,84.8028,17.5057664488
62,26.57611,0.663051,95.054,17.62131631161
63,26.216330000000003,0.700862,79.637,18.374029476460002
64,26.40031,0.7190019999999999,88.7761,18.981875690619997
65,26.841330000000003,0.723382,88.7713,19.41653497806
66,26.0105,0.709154,69.1555,18.445450117
67,26.102,0.715351,69.492,18.672091802
68,26.18307,0.7480789999999999,92.067,19.587004822529998
69,25.985419999999998,0.6558919999999999,80.7021,17.043629094639996
70,26.40328,0.742298,96.4212,19.59910193744
71,26.2543,0.717815,73.8061,18.8457303545
72,26.5637,0.810549,73.1622,21.5311804713
73,26.09246,0.782399,74.481,20.41471461154
74,25.92062,0.760917,75.1312,19.72344040854
75,26.60516,0.8130769999999999,76.7991,21.63204367732
76,26.47487,0.8106909999999999,78.1351,21.462938835169997
77,26.17463,0.8329719999999999,79.4633,21.80273390036
78,25.92487,0.806462,77.133,20.907422509939998
79,26.35058,0.8023939999999999,80.1297,21.14354728852
80,26.3475,0.824697,72.1549,21.7287042075
81,26.49311,0.834897,83.451,22.11901805967
82,26.46087,0.822522,72.4843,21.76464771414
83,26.36787,0.858653,73.8118,22.64085067911
84,26.52316,0.903196,85.0995,23.95561201936
85,26.42844,0.8834529999999999,73.4601,23.348284603319996
86,26.555380000000003,0.924827,87.7697,24.559132419260003
87,26.1646,0.901426,75.1482,23.585450719599997
88,26.34969,0.8962589999999999,91.0918,23.616146809709996
89,26.34475,0.921951,76.8075,24.28856860725
90,26.35658,0.91408,90.7445,24.0920226464
91,26.2679,0.898401,76.8131,23.5991076279
92,26.49256,0.945201,78.7853,25.04079420456
93,26.4752,0.947657,79.1274,25.0894086064
94,26.62117,0.944078,96.7535,25.13246093126
95,26.87847,0.9523889999999999,97.4222,25.59875916483
96,26.44515,0.962395,80.7944,25.450680134250003
97,26.768130000000003,0.974919,97.0996,26.09675853147
98,26.70145,0.9753179999999999,99.4011,26.0424048111
99,26.51212,1.003004,81.7996,26.59176240848
100,26.647090000000002,1.0125899999999999,100.42,26.9825768631
101,26.555,1.0216699999999999,103.589,27.130446849999995
102,26.574900000000003,1.059936,83.4366,28.167693206400003
103,26.647720000000003,1.078889,82.7741,28.749931983080003
104,26.588220000000003,1.053386,90.4141,28.00765871292
105,26.665419999999997,1.0806639999999998,84.7846,28.816359438879992
106,26.41738,1.1021859999999999,86.1141,29.11686639268
107,26.40644,1.0924719999999999,85.4421,28.848296319679996
108,26.68654,1.111345,85.7798,29.657952796300002
109,26.73513,1.126161,86.473,30.10806073593
110,26.511380000000003,1.129448,88.1364,29.943225118240004
111,26.269660000000002,1.147033,86.7653,30.13216691878
112,26.81786,1.157562,89.123,31.04333565732
113,26.8257,1.1546589999999999,88.3947,30.974535936299997
114,26.3905,1.184192,90.0702,31.251418975999997
115,26.5458,1.183111,88.0639,31.4066279838
116,26.62643,1.192507,89.8617,31.75220416001
117,26.2811,1.1935829999999998,90.0858,31.368674181299994
