Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,21.5356,398,5256,263,242,40175,45,1,46027,46877,49383,50370
2,24.8315,437,5101,34697,191,39708,49,1,80173,80905,81245,83271
3,30.1314,509,7913,39449,274,50422,59,1,97508,98978,100664,138215
4,33.6223,499,8127,50651,311,58357,55,1,114634,155279,159144,171595
5,36.4365,465,10044,58138,362,66656,61,1,131849,173094,188734,204985
6,38.1137,495,12446,67705,409,75207,63,1,149340,205579,207297,222276
7,39.4285,634,13616,72975,510,86265,69,1,166700,222920,224675,237217
8,41.0546,780,15156,90938,506,84422,74,1,182805,240743,242782,259125
9,42.0807,693,17481,97369,584,93237,78,0,236465,257070,258445,275575
10,43.2212,892,22376,90840,736,111317,82,1,250314,278510,287592,311607
11,44.7338,965,24061,102177,786,113747,82,1,267229,288580,300641,325114
12,46.0981,422,19391,113499,882,125461,88,1,284212,308504,321361,323270
13,45.0676,1402,22995,126504,843,123715,90,1,303323,325189,336559,349604
14,47.2695,441,21599,101510,1206,164248,98,1,316116,334041,341453,427600
15,50.1405,437,19723,145960,1134,144047,96,1,346278,364528,368350,369902
16,50.1095,417,22541,122602,1474,174550,109,1,343444,374662,379366,384813
17,48.8842,1633,23579,156813,1206,151899,102,1,374496,385218,387490,402828
18,50.2667,441,24400,153877,1381,170019,105,1,377534,409745,413691,418702
19,52.1595,413,23441,183710,1314,163532,108,1,397946,415111,424030,427033
20,53.2003,440,33105,188011,1335,165109,134,1,414041,428372,431329,458200
21,54.1444,435,28536,192579,1426,180037,111,1,425748,447189,454192,455460
22,53.8846,427,25237,197482,1742,192716,116,1,446377,485418,495850,649804
23,53.3993,432,24596,204313,1538,196407,120,1,452842,477941,490215,499966
24,54.5231,425,27219,186055,1859,229788,140,1,468782,496497,605438,608958
25,54.5318,419,23720,220504,1798,201291,125,1,479731,493982,497398,498759
26,55.1957,458,28027,234511,1995,207155,122,1,507446,512541,514202,516673
27,56.5131,444,29526,244586,2097,204958,132,1,510255,523473,523955,524648
28,59.1657,426,33582,239030,1880,223151,128,0,527892,538637,545030,546294
29,55.7067,440,26126,271466,2097,213105,137,1,540938,568422,575660,600941
30,61.847,376,25905,80455,3830,403813,201,0,533972,561021,561977,563687
31,53.8895,4897,21384,278463,2535,238374,136,1,584821,620246,641985,655054
32,53.4329,4699,24442,268441,2157,246705,137,1,590611,615299,641441,673570
33,54.1923,477,30556,309794,2306,232737,144,1,604303,628193,637711,818758
34,55.307,451,27873,217403,3251,355484,200,0,620974,669256,671263,919583
35,61.8323,413,31897,293904,2970,277108,159,1,641573,659376,660694,661532
36,55.6456,423,36138,309883,2748,282858,155,1,654901,741541,743278,746053
37,56.5228,394,46604,312162,2546,287528,168,1,666024,721533,722879,723949
38,58.5289,445,33457,352215,3169,279197,140,1,688151,704865,726012,728387
39,59.1257,412,27973,378368,2652,271160,148,1,711928,726905,730445,739727
40,61.8405,382,28400,347633,3417,312666,164,1,715161,738271,810139,815733
41,60.1221,672,30214,347432,3228,313349,172,1,722353,758170,760458,761762
42,58.6065,420,39227,414654,2775,267382,147,0,746258,795405,796263,797389
43,57.7132,429,41594,355987,3625,339324,177,1,766051,796428,804698,807288
44,56.8947,400,41898,312936,3983,395071,237,1,773992,846850,1090563,1096538
45,61.3901,422,42602,303399,3646,393129,201,1,765986,831463,834324,876360
46,59.422,412,26755,398492,3619,352597,181,0,805949,833602,836035,837576
47,64.8798,382,36629,349096,3925,373300,198,0,784397,801229,806028,845692
48,51.211,422,33271,300054,4846,467586,226,1,849383,866552,873101,874567
49,52.2049,377,39498,325525,4768,447091,224,1,873265,882406,889667,890361
50,52.1963,1299,38759,426404,3075,363156,196,1,867448,894206,895991,896439
51,52.1907,372,43319,317027,4223,469522,225,0,862419,877183,879284,884759
52,55.8648,382,35125,423309,4137,373966,195,1,884823,891012,892627,907128
53,54.8622,990,41633,437879,3903,407041,202,1,930996,950003,1040266,1041112
54,56.191,385,40819,496497,4303,352652,183,0,925865,960753,962644,963739
55,56.527,404,50728,289598,5937,521608,266,0,870055,926615,948325,949459
56,57.9782,8912,39511,325494,4867,484524,231,0,948798,982717,1008737,1035235
57,57.1974,1637,33497,385644,5341,499350,249,8,919710,972762,976946,982317
58,60.5092,401,36573,554079,3115,358782,196,0,967624,1032121,1033456,1035696
59,60.5283,789,41036,406909,5198,492410,230,0,989788,1023694,1028626,1043898
60,61.8387,458,42593,450809,4690,489583,240,1,1015584,1033958,1053086,1056701
61,62.1714,421,34571,461127,4584,500504,244,1,1024384,1036834,1038608,1039507
62,63.8392,386,53798,411614,5499,525744,292,0,1023036,1038349,1052080,1053646
63,64.5042,383,40912,456874,5196,524466,259,1,1055923,1074261,1163362,1167595
64,66.4885,412,39510,449505,5697,536929,268,0,1076385,1092420,1112832,1115852
65,66.4857,426,45932,399091,6713,577704,271,0,1051164,1067938,1098341,1102272
66,68.151,420,51123,393172,6683,605985,284,1,1093286,1112921,1154729,1158626
67,68.8238,460,53592,282185,7149,715016,322,0,1092051,1117906,1122099,1145635
68,67.8235,388,42885,509032,5627,542420,242,0,1101521,1107250,1108222,1109310
69,69.4929,361,60436,126177,13783,849163,340,1,1036615,1102552,1105054,1949810
70,69.8198,429,58465,506268,4971,554333,257,0,1125078,1128924,1131748,1132398
71,68.825,421,48797,152526,14145,858051,347,0,1048964,1086900,1126008,1985036
72,72.8045,419,66580,511822,4692,540946,276,1,1146750,1192546,1195229,1198009
