Concurrency, Mean Power (W), Avg Latency (s), Throughput (Inference/sec), Energy (J)
1,6.77083,0.087114,10.2586,0.58983408462
2,7.23382,0.161568,11.5259,1.16875382976
3,7.09108,0.207588,13.4055,1.4720231150399998
4,7.16383,0.25653,14.5729,1.8377373098999998
5,7.29987,0.302228,15.7374,2.20622511036
6,7.25072,0.34781999999999996,16.255,2.5219454303999997
7,7.21168,0.38353299999999996,16.7472,2.7659172654399997
8,7.27367,0.42596599999999996,17.9794,3.0983361152199995
9,7.216,0.461513,17.967,3.330277808
10,7.351890000000001,0.5192289999999999,18.648,3.81731449281
11,7.06188,0.540859,19.7077,3.81948135492
12,7.2906,0.592421,19.9783,4.3191045426
13,7.2307,0.621177,18.8526,4.4915445339
14,7.436,0.676886,19.9804,5.033324296
15,7.41132,0.725872,19.6465,5.379669671039999
16,7.515840000000001,0.7733209999999999,20.0855,5.81215690464
17,7.32723,0.831699,19.5319,6.09404986377
18,7.427560000000001,0.936311,18.1955,6.9545061311600005
