Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,16.4027,554,8945,266,345,50639,73,1,60517,61057,61462,63495
2,19.5342,668,9303,41099,275,50315,72,2,101429,103499,105184,106961
3,22.2897,767,11720,49837,574,70467,96,1,130158,134045,136414,317773
4,24.3418,960,10772,67231,890,82096,109,1,157014,204528,210699,321858
5,26.4528,907,15049,79464,1229,88544,98,1,178867,251370,257322,261174
6,28.6152,630,12642,96735,1790,101112,100,1,202065,280186,283945,309816
7,29.1025,1152,16888,103340,1105,112227,110,7,226659,304904,309128,322585
8,30.2934,1177,16730,125234,892,115045,111,1,247809,326530,327366,330758
9,32.12,656,21466,124619,1387,135242,115,1,267574,347487,364772,369528
10,32.6133,666,20980,127899,2430,157108,130,1,297284,390475,402475,476824
11,34.7892,674,29594,112154,1636,181218,131,1,295861,415002,506621,512065
12,31.5895,2737,21851,150321,6456,182070,156,1,324855,509174,528899,565456
13,34.7888,635,27324,164637,2454,183990,132,1,341168,527576,531237,553087
14,33.4568,757,23917,202144,3996,180621,139,1,418371,537500,548604,578548
15,34.4505,686,23242,222516,2197,182959,157,2,444265,554645,560975,576448
16,34.7566,687,24222,245832,4377,184964,137,1,466107,577268,578914,626716
17,34.7806,789,23271,270282,2707,185857,147,2,493765,579280,583441,606472
18,35.9359,1021,27043,283323,5596,193240,184,2,524348,623648,637051,657695
