Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,20.8636,545,8839,287,309,37688,70,1,47487,49341,50326,53312
2,26.1306,620,9154,28435,252,37370,63,2,75542,76665,77503,82012
3,31.2907,611,10266,35158,375,49381,68,1,94888,96611,98752,132735
4,34.2892,692,13190,44465,836,56654,79,1,114230,115613,149707,172246
5,36.6108,735,11414,58313,1068,65231,99,1,131532,180032,190081,206046
6,38.1092,844,14801,65937,1449,73402,115,1,151037,204897,210946,232913
7,39.4432,633,16646,75412,1816,82035,107,1,167872,225691,236405,261305
8,41.443,619,20802,77228,1194,94975,114,1,185824,243434,246288,300177
9,42.116,694,19747,97877,1820,93617,119,1,203113,262803,276423,306543
10,42.265,655,20555,103780,3372,105350,121,1,222803,295356,301851,318924
11,44.4385,628,24200,82897,1695,136854,131,1,224364,297624,382969,388586
12,45.2781,625,25289,100948,2105,136620,126,1,237471,380880,383420,398180
13,44.5977,951,26508,123937,3799,137264,179,2,261539,400106,406268,418228
14,44.2611,2269,21960,141988,2624,136405,139,5,309328,401983,419445,424998
15,46.5986,657,25833,158988,2003,136888,156,1,331582,418647,421111,426668
16,47.098,642,25206,174466,1813,138691,135,1,348087,433574,435683,439712
17,48.4035,640,26617,186367,1900,142685,128,1,365447,449972,452194,467822
18,47.5625,696,27939,206005,3252,144815,151,1,387927,468274,472591,501939
