Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
2,1.06496,3187,11151,900247,2060,911139,164,12,1826351,1835754,1838377,1839140
1,1.06499,2411,11913,264,435,907575,179,8,921454,932918,937011,939547
3,1.22466,2984,12471,1062077,3938,1236198,181,14,2320370,2325166,2330338,2339745
5,1.31399,2567,16980,1213814,7222,2206881,221,8,3441667,3465631,3479877,3482435
4,1.32393,2924,11755,1148445,4893,1683553,233,9,2874024,2901998,2903273,2907569
13,1.35431,2798,22132,4087820,9964,3516369,337,6,7060440,10562499,10585505,10597963
7,1.37466,2701,22020,1904402,7601,2525115,355,8,4459031,4498378,4499687,4506697
6,1.41131,3110,15441,1734461,6828,2184187,276,11,3942495,3959701,3961101,3965773
8,1.41147,2332,20622,2315434,7554,2674429,418,8,5024485,5040231,5043817,5045286
9,1.4541,2558,21048,2462242,8256,2994651,279,6,5494721,5508246,5510331,5514114
11,1.48431,2616,19720,3231347,10228,3292297,449,7,6561678,6570629,6572025,6573113
12,1.49963,2296,25880,3500386,10325,3513234,384,7,7049369,7079882,7080752,7083344
10,1.53292,2647,21761,2908015,9399,3120368,289,7,6060881,6079392,6084308,6088384
