Concurrency,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
1,5.39892,1476,9176,248,421,172349,116,5,183958,186245,186801,187232
2,5.55494,2086,9273,166338,1530,175066,142,8,354281,356819,357120,359714
3,6.3742,2307,10392,217900,2292,221775,151,15,438214,615409,615904,619073
4,6.998,2388,12152,246811,3700,275383,192,9,531837,695196,714074,793994
5,7.28363,2412,7062,313976,4146,315101,227,13,618208,879396,892704,896277
6,7.71208,2525,15735,340512,5461,372784,285,7,720815,894369,978545,982723
7,7.83203,2393,4192,410330,6239,413849,263,7,809879,989526,1073175,1264890
8,7.83203,2203,14507,453835,7562,431317,402,7,897505,1158873,1256739,1278040
13,7.99733,2149,24293,701641,8937,612185,377,7,1248804,1858153,1862209,1866165
10,8.33194,2553,21042,520748,8124,532995,363,7,1085640,1090709,1092388,1094981
11,8.33194,2506,23030,556307,8866,576542,328,7,1166916,1174935,1177442,1180221
9,8.66522,2429,19776,493117,7132,484671,323,6,982133,1158337,1329113,1335132
12,8.9985,2027,23854,599549,9073,612507,315,5,1246461,1254804,1255651,1257115
