Time,Frames After Filter,Camera Index,Throughput,latency_constraint
124.87088449014212,17,0,3.4,13
129.87088449014212,16,0,6.6,17
134.87088449014212,5,0,4.2,7
136.48787482232706,9,1,2.8,13
139.48787482232706,6,1,4.0,5
139.87088449014212,2,0,4.4,1
142.48787482232706,22,1,6.0,18
144.87088449014212,17,0,8.2,16
145.48787482232706,11,1,10.0,13
148.48787482232706,27,1,11.0,17
149.87088449014212,5,0,12.0,12
151.48787482232706,41,1,14.6,20
154.48787482232706,41,1,17.4,13
154.87088449014212,9,0,19.2,9
157.48787482232706,21,1,14.2,15
159.87088449014212,22,0,10.4,18
160.48787482232706,11,1,10.8,16
163.48787482232706,5,1,7.6,7
164.87088449014212,14,0,10.4,16
166.48787482232706,42,1,12.2,18
169.87088449014212,23,0,15.8,17
174.87088449014212,2,0,5.0,11
179.87088449014212,21,0,4.6,18
184.87088449014212,6,0,5.4,11
189.87088449014212,5,0,2.2,7
194.87088449014212,16,0,4.2,16
199.87088449014212,3,0,3.8,12
204.87088449014212,11,0,2.8,11
209.87088449014212,22,0,6.6,17
214.87088449014212,11,0,6.6,10
219.87088449014212,5,0,3.2,9
