Time,Frames After Filter,Camera Index,Throughput,latency_constraint
20.30452167242125,2,1,0.4,3.190029
20.80452167242125,6,1,1.6,14.559861
21.30452167242125,2,1,2.0,2.190029
21.80452167242125,5,1,3.0,7.465794
22.30452167242125,5,1,4.0,11.465794
22.80452167242125,4,1,4.8,11.374043
23.30452167242125,1,1,5.0,10.098841
23.80452167242125,2,1,5.4,1.190029
24.30452167242125,5,1,6.4,6.465794
24.80452167242125,1,1,6.6,4.098841
25.30452167242125,2,1,7.0,9.190029
25.80452167242125,5,1,7.6,19.465794
26.30452167242125,6,1,7.6,15.559861
26.574746514357738,2,1,7.6,5.190029
26.80452167242125,2,1,8.0,12.190029
27.074746514357738,3,1,7.6,16.281418
27.30452167242125,2,1,8.0,7.190029
27.574746514357738,2,1,7.4,9.190029
27.80452167242125,4,1,8.2,13.374043
28.074746514357738,5,1,8.4,11.465794
28.30452167242125,1,1,8.6,19.098841
28.574746514357738,6,1,9.6,19.559861
28.80452167242125,1,1,9.8,11.098841
29.074746514357738,1,1,9.6,3.098841
29.30452167242125,1,1,9.8,9.098841
29.574746514357738,5,1,9.8,8.465794
29.80452167242125,6,1,11.0,9.559861
30.074746514357738,6,1,12.0,20.559861
30.30452167242125,6,1,13.2,7.559861
30.574746514357738,1,1,13.0,9.098841
30.80452167242125,2,1,13.4,20.190029
31.074746514357738,4,1,13.2,11.374043
31.30452167242125,3,1,13.8,21.281418
31.574746514357738,6,1,13.8,12.559861
31.80452167242125,4,1,14.2,18.374043
32.07474651435774,6,1,14.4,6.559861
32.304521672421245,4,1,15.2,11.374043
32.57474651435774,3,1,15.0,14.281418
32.804521672421245,1,1,15.2,13.098841
33.07474651435774,2,1,13.8,7.190029
33.304521672421245,5,1,14.8,19.465794
33.57474651435774,1,1,13.6,14.098841
33.804521672421245,1,1,13.8,8.098841
34.07474651435774,3,1,14.0,7.281418
34.304521672421245,1,1,14.2,16.098841
34.57474651435774,1,1,13.2,8.098841
34.804521672421245,1,1,13.4,7.098841
35.07474651435774,1,1,11.2,16.098841
35.304521672421245,1,1,11.4,13.098841
35.57474651435774,1,1,10.2,13.098841
35.804521672421245,2,1,10.6,15.190029
36.07474651435774,2,1,9.8,10.190029
36.304521672421245,5,1,10.8,10.465794
36.57474651435774,4,1,9.8,17.374043
36.804521672421245,5,1,10.8,5.465794
37.07474651435774,4,1,10.8,9.374043
37.304521672421245,4,1,10.4,10.374043
37.57474651435774,3,1,10.2,5.281418
37.804521672421245,1,1,9.8,8.098841
38.07474651435774,1,1,9.8,16.098841
38.304521672421245,6,1,10.6,7.559861
38.57474651435774,5,1,10.6,16.465794
38.804521672421245,1,1,10.6,4.098841
39.07474651435774,1,1,10.6,2.098841
39.304521672421245,2,1,10.4,7.190029
39.57474651435774,4,1,11.0,7.374043
39.804521672421245,4,1,11.6,19.374043
40.07474651435774,2,1,11.8,11.190029
40.304521672421245,2,1,12.0,5.190029
40.57474651435774,4,1,12.6,17.374043
40.804521672421245,6,1,13.6,5.559861
41.07474651435774,6,1,14.4,10.559861
41.304521672421245,3,1,14.6,7.281418
41.57474651435774,1,1,13.8,8.098841
41.804521672421245,6,1,14.2,18.559861
42.07474651435774,1,1,13.4,6.098841
42.304521672421245,6,1,13.8,21.559861
42.57474651435774,3,1,13.6,20.281418
42.804521672421245,2,1,13.4,4.190029
43.07474651435774,6,1,14.4,19.559861
43.304521672421245,2,1,14.6,10.190029
43.57474651435774,1,1,13.6,4.098841
43.804521672421245,1,1,12.8,5.098841
44.07474651435774,7,1,14.0,14.64948
44.304521672421245,7,1,15.2,18.64948
44.57474651435774,4,1,15.6,15.374043
44.804521672421245,6,1,16.0,20.559861
45.07474651435774,5,1,16.2,15.465794
45.304521672421245,1,1,16.0,11.098841
45.57474651435774,4,1,16.4,17.374043
45.58398837042783,28,0,21.2,18.583353
45.804521672421245,3,1,21.8,2.281418
46.07474651435774,4,1,21.4,18.374043
46.304521672421245,3,1,20.8,12.281418
46.57474651435774,1,1,20.4,5.098841
46.804521672421245,6,1,21.4,14.559861
47.07474651435774,1,1,20.4,5.098841
47.304521672421245,1,1,20.4,8.098841
47.57474651435774,2,1,19.6,18.190029
47.804521672421245,1,1,19.2,8.098841
48.07474651435774,6,1,20.0,13.559861
48.304521672421245,3,1,19.4,20.281418
48.57474651435774,4,1,19.8,5.374043
48.804521672421245,5,1,20.6,15.465794
49.07474651435774,5,1,21.4,13.465794
49.304521672421245,4,1,20.8,6.374043
49.57474651435774,3,1,20.0,12.281418
49.804521672421245,2,1,19.6,8.190029
50.07474651435774,5,1,19.4,5.465794
50.304521672421245,3,1,19.0,16.281418
50.57474651435774,4,1,19.6,3.374043
50.804521672421245,6,1,14.4,21.559861
51.07474651435774,6,1,15.0,13.559861
51.304521672421245,6,1,15.4,10.559861
51.57474651435774,4,1,15.6,4.374043
51.804521672421245,2,1,15.8,9.190029
52.07474651435774,6,1,15.8,16.559861
52.304521672421245,6,1,16.8,6.559861
52.57474651435774,1,1,16.8,15.098841
52.804521672421245,5,1,17.4,12.465794
53.07474651435774,2,1,17.6,1.190029
53.304521672421245,7,1,17.8,21.64948
53.57474651435774,4,1,18.0,3.374043
53.804521672421245,7,1,18.6,16.64948
54.07474651435774,5,1,18.6,16.465794
54.304521672421245,2,1,18.0,15.190029
54.57474651435774,4,1,18.0,3.374043
54.804521672421245,2,1,17.8,17.190029
55.07474651435774,6,1,18.6,19.559861
55.304521672421245,3,1,18.2,10.281418
55.57474651435774,1,1,17.8,12.098841
55.58398837042783,8,0,18.6,20.741029
55.804521672421245,4,1,19.4,12.374043
56.07474651435774,7,1,19.6,13.64948
56.304521672421245,1,1,18.6,16.098841
56.57474651435774,5,1,18.4,10.465794
56.804521672421245,4,1,18.4,8.374043
57.07474651435774,6,1,19.2,21.559861
57.304521672421245,2,1,18.4,4.190029
57.57474651435774,4,1,18.0,14.374043
57.804521672421245,5,1,18.8,15.465794
58.07474651435774,4,1,18.6,18.374043
58.304521672421245,1,1,18.4,2.098841
58.57474651435774,3,1,17.6,21.281418
58.804521672421245,1,1,17.0,11.098841
59.07474651435774,4,1,16.4,3.374043
59.304521672421245,1,1,15.6,8.098841
59.57474651435774,5,1,16.2,7.465794
59.804521672421245,1,1,15.6,12.098841
60.07474651435774,5,1,16.2,16.465794
60.123446966640785,6,0,16.2,9.559861
60.304521672421245,6,1,17.4,17.559861
60.57474651435774,2,1,17.2,1.190029
60.804521672421245,1,1,15.6,9.098841
61.07474651435774,3,1,15.4,9.281418
61.304521672421245,5,1,15.0,4.465794
61.57474651435774,5,1,15.8,18.465794
61.804521672421245,3,1,15.4,21.281418
62.07474651435774,6,1,15.8,16.559861
62.304521672421245,6,1,15.8,21.559861
62.57474651435774,2,1,15.8,4.190029
62.804521672421245,6,1,16.2,9.559861
63.07474651435774,5,1,16.2,20.465794
63.304521672421245,1,1,15.6,5.098841
63.57474651435774,5,1,16.4,20.465794
63.804521672421245,4,1,16.6,15.374043
64.07474651435774,1,1,16.6,21.098841
64.30452167242125,4,1,16.6,11.374043
64.57474651435774,1,1,16.6,12.098841
64.80452167242125,1,1,15.8,13.098841
65.07474651435774,1,1,15.8,17.098841
65.30452167242125,3,1,14.2,20.281418
65.57474651435774,7,1,14.4,10.64948
65.58398837042783,28,0,19.6,19.583353
65.80452167242125,5,1,20.6,4.465794
66.07474651435774,5,1,21.4,19.465794
66.30452167242125,2,1,21.2,14.190029
66.57474651435774,1,1,20.4,4.098841
66.80452167242125,3,1,20.0,12.281418
67.07474651435774,3,1,20.0,4.281418
67.30452167242125,2,1,19.2,6.190029
67.57474651435774,6,1,19.2,17.559861
67.80452167242125,6,1,20.0,6.559861
68.07474651435774,1,1,19.0,13.098841
68.30452167242125,1,1,18.2,13.098841
68.57474651435774,7,1,19.4,12.64948
68.80452167242125,6,1,19.6,10.559861
69.07474651435774,1,1,19.0,4.098841
69.30452167242125,1,1,19.0,19.098841
69.57474651435774,3,1,18.8,9.281418
69.80452167242125,2,1,19.0,9.190029
70.07474651435774,1,1,19.0,16.098841
70.12344696664078,33,0,25.4,17.059384
70.30452167242125,1,1,25.6,6.098841
70.57474651435774,1,1,25.2,16.098841
70.80452167242125,1,1,18.4,5.098841
71.07474651435774,1,1,17.6,11.098841
71.30452167242125,6,1,17.8,18.559861
71.57474651435774,1,1,17.6,18.098841
71.80452167242125,1,1,17.6,2.098841
72.07474651435774,3,1,17.6,3.281418
72.30452167242125,3,1,17.6,16.281418
72.57474651435774,3,1,17.8,7.281418
72.80452167242125,3,1,17.2,12.281418
73.07474651435774,6,1,17.2,12.559861
73.30452167242125,6,1,18.2,14.559861
73.57474651435774,1,1,18.2,7.098841
73.80452167242125,6,1,18.0,16.559861
74.07474651435774,5,1,17.8,12.465794
74.30452167242125,2,1,18.0,21.190029
74.57474651435774,2,1,18.2,6.190029
74.80452167242125,2,1,18.0,17.190029
75.07474651435774,6,1,18.8,9.559861
75.30452167242125,4,1,12.8,9.374043
75.57474651435774,3,1,13.2,3.281418
75.58398837042783,26,0,18.2,17.424948
75.80452167242125,1,1,18.4,15.098841
76.07474651435774,1,1,18.4,13.098841
76.30452167242125,4,1,19.0,3.374043
76.57474651435774,1,1,18.0,20.098841
