aggregation_group;device;num_requests;num_frames;mean_excess_latency_s;mean_percent_excess;total_energy_j;requests_per_joule;frames_per_joule;max_temperature_c;mean_temperature_c;min_temperature_c;max_gpu_freq_mhz;avg_gpu_freq_mhz;min_gpu_freq_mhz;num_time_out;percent_time_out;percent_requests_within_constraint;percent_frames_within_constraint;percent_completed_frames_within_constraint
loud_pred (T-40);agx;11702;11702;0,5462;4,2349;9940,4620;1,1772;1,1772;47,5000;43,8764;41,0000;1032;671,9593;114;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nano0;11702;11702;0,5462;4,2349;1800,5718;6,4990;6,4990;25,5000;22,5589;20,5000;921;141,9845;76;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nano1;11702;11702;0,5462;4,2349;1859,8358;6,2920;6,2920;30,0000;26,1463;24,5000;921;153,4858;76;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nx0;11702;11702;0,5462;4,2349;6249,9704;1,8723;1,8723;47,5000;43,0928;38,5000;1007;505,2160;114;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-40);nx1;11702;11702;0,5462;4,2349;4676,7906;2,5021;2,5021;45,0000;41,7050;39,5000;1007;277,5338;114;0;0,0000;91,5570;91,5570;91,5570
loud_pred (T-50);agx;12641;12641;0,8136;8,9498;11082,2732;1,1407;1,1407;46,5000;43,6508;42,0000;1032;565,9803;114;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nano0;12641;12641;0,8136;8,9498;2318,7620;5,4516;5,4516;25,5000;22,6140;20,5000;921;150,2782;76;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nano1;12641;12641;0,8136;8,9498;2334,4512;5,4150;5,4150;30,0000;26,5468;25,0000;921;145,6789;76;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nx0;12641;12641;0,8136;8,9498;7576,1672;1,6685;1,6685;47,0000;43,5309;38,0000;1007;501,1603;114;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-50);nx1;12641;12641;0,8136;8,9498;5564,4028;2,2718;2,2718;44,5000;41,8192;40,0000;1007;248,9626;114;0;0,0000;86,0612;86,0612;86,0612
loud_pred (T-60);agx;12473;12473;2,5917;20,6269;10533,2576;1,1842;1,1842;46,5000;43,7932;42,0000;1032;582,2759;114;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-60);nano0;12473;12473;2,5917;20,6269;2338,2704;5,3343;5,3343;26,5000;22,2781;20,0000;921;211,2979;76;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-60);nano1;12473;12473;2,5917;20,6269;2364,0254;5,2762;5,2762;30,5000;26,4153;24,5000;921;205,8649;76;0;0,0000;77,3992;77,3992;77,3992
loud_pred (T-60);nx0;12473;12473;2,5917;20,6269;6567,4876;1,8992;1,8992;47,5000;43,2495;38,0000;1007;424,1870;114;0;0,0000;77,3992;77,3992;77,3992
